age_bracket,education_level,income_bracket,gender,geographic_region,urban_rural,industry_sector,job_type,ai_familiarity_score,ai_use_frequency,task_performance_metric,confidence_change,behavioral_intent_change,self_reported_productivity_change_pct,concerns,use_cases
45-54,Bachelor's,25-50k,male,West,urban,Finance,Executive,6,rarely,79.72656806,3.307034978,1.291705685,2.972071247,privacy|regulation|job_loss,customer_service
25-34,High School or less,50-100k,female,South,urban,Government,Executive,8,never,55.9874033,1.572374293,1.80285163,7.305099433,privacy|accuracy,content_generation
25-34,Some college / Associate,100-200k,male,West,urban,Finance,Executive,4,never,72.52477091,0.66355336,0.393079899,10.98169171,regulation,augmentation
25-34,Some college / Associate,<25k,female,Northeast,urban,Retail,Manager,4,never,95.63430269,1.563179276,-0.991990398,2.550816482,regulation,automation|analytics
35-44,Some college / Associate,25-50k,female,Northeast,urban,Services,Manager,4,never,57.59515168,0.206797454,0.373526726,11.33017962,privacy|ethics,agents
25-34,High School or less,100-200k,male,South,suburban,Technology,Individual Contributor,4,monthly,84.42055084,0.406184268,0.836629903,0.953356177,transparency,customer_service
55-64,Some college / Associate,25-50k,male,Northeast,suburban,Retail,Clerical/Support,7,daily,64.53110553,2.667674886,1.722207997,1.645636516,job_loss,augmentation
25-34,Some college / Associate,50-100k,male,Midwest,urban,Other,Individual Contributor,6,never,75.41960494,2.92088698,0.877950316,3.679279877,transparency|regulation,content_generation
45-54,Bachelor's,50-100k,male,Midwest,urban,Education,Individual Contributor,2,rarely,67.02080958,2.419656032,3.17350743,6.719956075,bias|regulation,automation
45-54,High School or less,100-200k,male,Northeast,urban,Healthcare,Manager,5,rarely,52.63599242,0.609642762,0.36514931,5.341969339,job_loss,augmentation
25-34,Master's,<25k,female,West,suburban,Manufacturing,Individual Contributor,6,never,89.53942003,3.93165321,3.864678177,-0.060165659,bias,automation|customer_service
35-44,Some college / Associate,25-50k,female,Northeast,urban,Finance,Individual Contributor,2,monthly,35.77543917,0.437033263,-0.546022273,2.247431658,safety,automation
25-34,High School or less,<25k,male,West,suburban,Services,Individual Contributor,9,rarely,84.99189743,-0.2492504,-0.498460264,4.945522695,bias,augmentation|analytics
45-54,Bachelor's,25-50k,male,Northeast,urban,Manufacturing,Clerical/Support,7,never,78.25149289,3.472519781,2.903545749,-5.297631897,privacy,content_generation
35-44,Master's,50-100k,female,West,suburban,Education,Clerical/Support,4,never,62.23660555,-0.59648084,1.189621143,2.338182608,accuracy,analytics|agents
45-54,Some college / Associate,100-200k,male,West,suburban,Technology,Manager,8,never,96.26802576,4.288811515,2.14494085,12.1087347,regulation,analytics
55-64,Bachelor's,25-50k,male,South,urban,Other,Clerical/Support,6,never,64.07053531,0.608172611,-0.390838657,-3.643082715,regulation,customer_service
55-64,Some college / Associate,<25k,male,South,urban,Services,Clerical/Support,6,never,73.3136664,1.592446728,2.234228823,9.533106802,privacy|ethics,analytics
35-44,Bachelor's,50-100k,female,South,urban,Retail,Manager,8,never,82.27083995,-0.644674238,1.243003758,6.446025162,accuracy,automation
55-64,Bachelor's,50-100k,female,West,urban,Finance,Skilled Trade,2,never,61.43758647,2.392481116,2.61592997,4.484285001,privacy|bias,automation|analytics
25-34,Doctorate/Prof,25-50k,female,South,urban,Other,Skilled Trade,7,never,62.95124719,-0.389772169,0.262144775,6.074337571,safety,customer_service
35-44,High School or less,200k+,female,West,urban,Healthcare,Skilled Trade,1,monthly,85.02365891,2.362357037,0.249900842,-3.479089457,privacy|transparency,analytics
25-34,High School or less,25-50k,female,West,urban,Healthcare,Skilled Trade,6,never,75.8798448,0.987842571,0.246642452,4.946482904,job_loss|bias|transparency,analytics
55-64,High School or less,100-200k,female,Midwest,urban,Services,Clerical/Support,6,never,67.7242153,-0.079174218,-0.310837345,5.607395855,accuracy,customer_service
25-34,Bachelor's,<25k,female,South,urban,Services,Clerical/Support,5,never,42.32245102,1.318219727,-0.030061412,14.46713913,privacy,augmentation
65+,High School or less,50-100k,male,West,urban,Healthcare,Executive,5,never,80.12656542,1.785441557,1.977314063,15.32308411,bias,automation
35-44,Some college / Associate,<25k,male,Midwest,urban,Other,Clerical/Support,4,never,68.78950758,2.202511522,0.273034974,8.142391666,accuracy|transparency,content_generation
55-64,Bachelor's,25-50k,female,South,suburban,Manufacturing,Individual Contributor,5,daily,91.3987403,4.127091466,5.152908773,-0.275948597,safety|regulation,content_generation
45-54,Some college / Associate,50-100k,female,Northeast,suburban,Healthcare,Individual Contributor,10,never,74.74220114,1.016026844,-1.525137204,15.1723624,accuracy|transparency,analytics
45-54,Bachelor's,50-100k,male,West,rural,Education,Individual Contributor,3,monthly,65.18046913,0.512211209,2.235677738,14.83008769,job_loss|privacy|bias,agents
65+,High School or less,50-100k,female,West,urban,Finance,Individual Contributor,6,never,89.48023044,0.012101892,1.708289396,10.29721113,accuracy|transparency|ethics,customer_service
25-34,Bachelor's,100-200k,male,Midwest,rural,Healthcare,Manager,1,never,77.75066363,0.658038024,2.695437624,-0.633894652,job_loss,augmentation|hiring
18-24,Bachelor's,25-50k,female,Midwest,rural,Education,Individual Contributor,3,never,76.83256087,-0.408135953,2.867891404,-4.574514465,accuracy,automation|analytics
25-34,High School or less,<25k,female,West,urban,Other,Individual Contributor,3,rarely,89.91561022,1.84311745,1.824951643,1.942327373,bias,hiring
25-34,Some college / Associate,50-100k,male,South,urban,Technology,Manager,5,never,66.80523031,-1.7259556,-0.731804382,-6.171816255,bias,automation
25-34,Some college / Associate,50-100k,male,South,urban,Manufacturing,Individual Contributor,4,rarely,72.03792645,0.984676563,-0.625167883,2.238425654,job_loss|accuracy|transparency,customer_service
25-34,Bachelor's,<25k,male,West,suburban,Finance,Executive,4,rarely,88.85893557,1.898854947,1.277887809,-0.357544151,privacy,content_generation
18-24,Some college / Associate,<25k,male,South,urban,Finance,Individual Contributor,4,never,80.5842124,1.5893699,0.032386436,3.3766538,accuracy,augmentation
25-34,Bachelor's,100-200k,female,South,rural,Services,Executive,9,never,66.17861754,3.254571052,2.865515422,12.08967738,safety,automation
35-44,Some college / Associate,<25k,female,South,urban,Healthcare,Individual Contributor,6,never,61.99343782,1.682289023,2.239178207,14.71811522,privacy,augmentation
35-44,Bachelor's,100-200k,male,South,urban,Technology,Clerical/Support,8,rarely,65.65055503,3.644966666,2.291750677,0.24890447,regulation,automation
18-24,Bachelor's,50-100k,female,South,urban,Services,Individual Contributor,6,never,100,1.268710828,-1.482853682,-1.353705722,accuracy,customer_service|analytics
45-54,Bachelor's,<25k,male,Midwest,suburban,Healthcare,Clerical/Support,6,never,69.99684309,-0.188225927,0.46876262,14.55975865,transparency,customer_service
35-44,High School or less,25-50k,female,Northeast,suburban,Other,Individual Contributor,9,rarely,81.80422422,2.00588084,2.814525453,1.228817975,job_loss,augmentation
25-34,Doctorate/Prof,25-50k,male,South,rural,Retail,Manager,3,never,78.89254998,1.006467157,1.000797047,4.30793887,privacy,agents
18-24,Some college / Associate,25-50k,female,South,urban,Finance,Manager,6,never,79.62543337,-0.120858205,-1.203371737,10.81178472,privacy|safety,automation|analytics
35-44,Doctorate/Prof,50-100k,male,West,urban,Other,Individual Contributor,7,never,60.43163061,2.947349832,1.710617842,-1.915454493,job_loss,analytics
45-54,Bachelor's,50-100k,male,South,suburban,Retail,Individual Contributor,6,never,93.51894759,2.611440405,2.606021443,8.086343696,bias|transparency,customer_service
45-54,Doctorate/Prof,200k+,female,South,rural,Technology,Individual Contributor,6,never,100,3.302420282,3.041104133,-0.238330945,ethics,augmentation
45-54,Bachelor's,25-50k,male,South,suburban,Services,Manager,2,never,41.19851138,1.794621088,3.044928765,3.259686991,ethics,automation
25-34,Master's,25-50k,female,Northeast,suburban,Government,Individual Contributor,8,monthly,57.31009053,-0.220990032,0.254956973,6.584153454,privacy,augmentation
65+,Some college / Associate,25-50k,female,Midwest,urban,Services,Skilled Trade,8,never,80.18364331,1.916580295,2.765767384,3.898014187,job_loss,automation|customer_service
18-24,Bachelor's,50-100k,male,West,urban,Finance,Manager,7,never,74.45616973,0.780115046,-0.466356705,13.36272067,job_loss|transparency,customer_service
45-54,High School or less,25-50k,female,Midwest,urban,Services,Individual Contributor,3,monthly,84.2260698,-0.180980855,0.749071537,-7.473685856,job_loss|privacy,agents
65+,Bachelor's,25-50k,nonbinary,Midwest,suburban,Education,Individual Contributor,6,never,76.50842762,0.093380426,2.839631439,6.683437799,privacy,customer_service
45-54,Bachelor's,25-50k,female,Northeast,urban,Other,Individual Contributor,6,monthly,75.35409152,1.065083839,0.271917096,8.652395906,regulation,augmentation|analytics
45-54,High School or less,25-50k,female,Northeast,urban,Other,Individual Contributor,6,rarely,100,3.328866529,2.698071097,4.393474084,job_loss|regulation,automation
18-24,Master's,50-100k,male,Midwest,urban,Finance,Individual Contributor,6,never,70.55179377,3.455839395,0.484559615,7.274129763,regulation,augmentation
18-24,High School or less,<25k,female,South,rural,Manufacturing,Individual Contributor,5,rarely,68.19577126,3.353165612,3.511868023,5.896533429,job_loss,analytics
18-24,High School or less,50-100k,male,Northeast,suburban,Technology,Individual Contributor,6,never,80.37319942,0.629141035,0.783891671,9.127550745,privacy,augmentation|analytics
55-64,Master's,50-100k,female,South,suburban,Services,Individual Contributor,5,never,61.35707524,2.383010844,1.621733515,2.194791644,job_loss,analytics
55-64,Some college / Associate,50-100k,male,South,suburban,Technology,Manager,5,never,83.66232825,2.296259169,0.742395252,0.531754503,accuracy,automation
18-24,Bachelor's,200k+,male,Northeast,urban,Services,Individual Contributor,7,weekly,50.94102788,2.074399123,1.536252522,5.226932371,transparency|regulation,analytics
45-54,High School or less,25-50k,male,West,suburban,Finance,Individual Contributor,9,never,82.53152391,5.559170507,2.898622307,-4.988011738,privacy|accuracy,augmentation
65+,High School or less,50-100k,male,Northeast,suburban,Finance,Individual Contributor,6,rarely,91.93386067,3.080385789,3.216550916,7.721003563,safety,analytics
55-64,Some college / Associate,100-200k,female,South,rural,Technology,Individual Contributor,7,never,95.7433674,0.023303991,0.187935189,13.28022475,transparency,customer_service|agents
45-54,High School or less,100-200k,male,Midwest,urban,Other,Individual Contributor,7,rarely,70.34273199,-0.860840643,0.479164612,15.40209783,privacy,augmentation
25-34,Bachelor's,50-100k,female,West,rural,Technology,Manager,8,rarely,81.27262626,-0.308494875,1.064228919,2.112307709,job_loss,customer_service
55-64,Bachelor's,25-50k,male,South,rural,Technology,Individual Contributor,8,never,63.78885884,3.171471784,2.542078181,5.314965579,accuracy,customer_service
35-44,Some college / Associate,50-100k,male,Northeast,urban,Technology,Individual Contributor,6,never,54.2168101,3.229362068,4.347583434,-2.032757396,privacy,customer_service
25-34,Some college / Associate,200k+,male,South,rural,Other,Individual Contributor,5,rarely,61.45717996,3.208590937,1.516428538,-6.953762577,bias,augmentation
18-24,Bachelor's,50-100k,female,Midwest,rural,Finance,Clerical/Support,4,never,69.62687786,1.734039786,0.905278777,-6.796983149,transparency,automation|analytics
25-34,Some college / Associate,200k+,male,West,rural,Government,Individual Contributor,5,never,61.69345038,0.69402678,1.363483377,9.180686455,job_loss,analytics
35-44,High School or less,<25k,male,West,urban,Manufacturing,Executive,4,rarely,43.06907361,1.598115642,0.524263287,-2.158180649,privacy,hiring
55-64,High School or less,100-200k,female,West,urban,Healthcare,Individual Contributor,8,never,72.40667288,2.819159266,2.858992279,-1.113188136,job_loss,customer_service
55-64,Bachelor's,50-100k,male,West,suburban,Education,Individual Contributor,6,weekly,76.93673153,2.716777587,2.646415163,3.970796138,transparency,automation|augmentation
65+,Doctorate/Prof,200k+,male,Northeast,suburban,Other,Clerical/Support,4,monthly,73.84391454,1.254470136,0.876305875,8.537392333,transparency,augmentation|automation
35-44,High School or less,<25k,male,Midwest,rural,Services,Individual Contributor,2,never,56.21439561,1.206377093,3.781293087,-3.954784972,privacy,hiring
25-34,Master's,50-100k,male,West,suburban,Healthcare,Individual Contributor,5,monthly,100,0.024832938,-0.393392862,5.462687899,safety,analytics
35-44,Master's,50-100k,male,Northeast,urban,Services,Individual Contributor,7,never,66.14552737,2.343232225,1.650375857,8.580330811,ethics,customer_service|content_generation
35-44,Some college / Associate,25-50k,female,Midwest,suburban,Retail,Skilled Trade,6,rarely,71.96486983,1.38602988,1.773618215,1.675687014,job_loss,customer_service
35-44,Some college / Associate,50-100k,female,Midwest,urban,Services,Individual Contributor,6,rarely,70.36620751,3.022696117,4.713798376,-1.15190693,regulation,agents
18-24,Some college / Associate,<25k,male,Midwest,suburban,Services,Manager,5,never,76.65766011,2.48798837,3.635313651,0.177888503,job_loss,augmentation
45-54,Bachelor's,100-200k,female,South,urban,Services,Individual Contributor,6,never,83.7714131,1.794273115,1.004850328,6.908316606,ethics,augmentation
55-64,Bachelor's,50-100k,male,South,suburban,Technology,Individual Contributor,4,never,80.74516297,1.647944937,1.078332607,4.084604252,job_loss,automation
25-34,High School or less,<25k,male,Northeast,suburban,Technology,Executive,2,never,63.02277991,0.488031751,2.360866621,3.360067546,job_loss|safety,augmentation
35-44,Some college / Associate,<25k,male,Northeast,urban,Services,Skilled Trade,5,monthly,79.36098506,1.825833073,2.179542309,8.338366335,privacy,automation
55-64,Bachelor's,50-100k,male,South,urban,Manufacturing,Individual Contributor,6,rarely,72.91753683,-0.458105839,0.203426743,1.509432601,safety|transparency,augmentation
55-64,Some college / Associate,25-50k,male,Midwest,urban,Services,Individual Contributor,9,rarely,66.05375483,3.754978871,0.864845401,8.338173654,privacy,content_generation
25-34,High School or less,50-100k,male,South,urban,Education,Individual Contributor,10,never,82.74401938,5.238720255,1.796761368,1.961655246,accuracy,augmentation
25-34,Some college / Associate,50-100k,female,Northeast,rural,Other,Executive,5,never,68.75522911,3.27877395,3.14123269,-0.360308161,privacy,agents
35-44,Some college / Associate,25-50k,female,South,suburban,Other,Individual Contributor,9,never,75.28803349,0.770472197,-0.780232186,13.32692897,regulation,automation|agents
45-54,Doctorate/Prof,50-100k,male,South,urban,Education,Individual Contributor,4,never,56.27777031,-1.768779713,0.153173307,19.78781132,job_loss|safety,analytics
35-44,Doctorate/Prof,50-100k,female,Northeast,urban,Manufacturing,Executive,3,never,63.69358181,-0.260171761,2.251937307,-1.131012983,privacy|safety,customer_service
35-44,Bachelor's,50-100k,male,Midwest,suburban,Retail,Individual Contributor,4,never,75.43824793,1.949286594,0.890789492,4.15181113,bias,analytics
35-44,Bachelor's,25-50k,female,Northeast,urban,Other,Manager,6,never,81.8390145,1.562662783,1.615004151,9.363081114,transparency|ethics,automation
55-64,Some college / Associate,25-50k,female,West,urban,Manufacturing,Manager,6,never,52.96842929,1.121542486,-0.089249719,4.16737015,bias|accuracy,hiring|analytics
65+,Some college / Associate,50-100k,nonbinary,South,suburban,Other,Individual Contributor,0,never,53.05267586,-1.640516681,-0.759910529,0.643462508,accuracy,customer_service
25-34,Some college / Associate,25-50k,female,South,urban,Healthcare,Manager,8,rarely,44.78817943,0.906470713,-0.372980951,0.579227827,privacy|accuracy,analytics
55-64,Master's,<25k,female,South,suburban,Healthcare,Individual Contributor,4,rarely,63.16159223,0.857557148,1.927723004,8.954718805,transparency,analytics|agents
25-34,Some college / Associate,25-50k,female,Northeast,suburban,Manufacturing,Clerical/Support,6,never,71.92212626,0.950334272,-0.9219584,12.55655343,job_loss|accuracy|regulation,augmentation
45-54,Doctorate/Prof,<25k,female,Midwest,urban,Technology,Manager,8,never,83.31831442,2.439907634,2.593090259,13.87335338,ethics,augmentation|analytics
18-24,Master's,50-100k,female,Midwest,urban,Technology,Manager,6,monthly,74.45852777,1.637990655,0.910930684,3.20778726,bias,content_generation
35-44,High School or less,100-200k,male,Midwest,suburban,Services,Manager,5,weekly,77.73878924,1.461194938,1.400875429,7.98294288,bias,analytics
45-54,Master's,25-50k,male,West,urban,Finance,Executive,4,never,67.48719288,1.294342953,3.157714134,-3.679107558,accuracy,automation
35-44,Some college / Associate,25-50k,male,South,rural,Healthcare,Individual Contributor,3,never,63.37370857,-1.723388765,0.641968408,6.775887854,bias|transparency,agents
18-24,High School or less,50-100k,female,South,suburban,Government,Individual Contributor,7,never,47.8038617,2.784939465,0.585589317,4.568797588,accuracy|transparency,augmentation|analytics
55-64,High School or less,<25k,male,South,urban,Healthcare,Individual Contributor,1,never,39.4258986,-0.223070369,-0.163782291,9.073103664,safety,augmentation|analytics
18-24,Some college / Associate,50-100k,female,South,urban,Finance,Manager,6,rarely,76.70279417,2.285569631,2.471044635,-5.706363945,accuracy,augmentation|agents
35-44,Master's,<25k,female,South,urban,Healthcare,Individual Contributor,6,never,90.14415337,1.585997268,3.609786822,11.76698372,ethics,augmentation|analytics
25-34,Some college / Associate,100-200k,male,West,urban,Other,Manager,0,never,68.14662953,1.346298355,4.317004946,-1.824740016,bias,automation|augmentation
45-54,Some college / Associate,50-100k,female,Midwest,urban,Finance,Individual Contributor,3,daily,80.68546909,3.185418292,2.914917237,-2.057134878,privacy,hiring|agents
55-64,Some college / Associate,25-50k,male,Midwest,urban,Other,Individual Contributor,6,never,80.62554559,1.776577659,0.728521907,4.044235128,bias,agents
55-64,High School or less,50-100k,female,West,urban,Healthcare,Individual Contributor,3,rarely,63.6392675,3.638863413,2.186057186,-0.1380423,regulation,content_generation|customer_service
25-34,Some college / Associate,25-50k,female,Midwest,urban,Other,Individual Contributor,7,never,76.30063225,-0.020083735,3.380056944,1.836736558,privacy,augmentation|analytics
18-24,Some college / Associate,100-200k,male,South,suburban,Other,Individual Contributor,5,weekly,78.00351738,2.403775774,2.946534,6.593500851,accuracy|regulation,customer_service|analytics
25-34,Some college / Associate,50-100k,female,South,suburban,Education,Clerical/Support,7,rarely,66.76050829,4.443730711,2.572520571,-9.706640805,privacy|bias,automation
65+,Some college / Associate,200k+,male,Midwest,urban,Government,Individual Contributor,8,never,83.08613979,3.916370414,2.727360645,9.035875642,bias|ethics,automation
55-64,Bachelor's,<25k,female,Midwest,rural,Other,Manager,6,monthly,80.41658379,3.690034702,2.422311365,1.02970549,safety,analytics
55-64,High School or less,<25k,nonbinary,West,urban,Services,Individual Contributor,5,never,81.26536102,3.806935659,2.773022131,9.592126655,privacy,analytics
18-24,High School or less,100-200k,female,Northeast,suburban,Services,Individual Contributor,8,weekly,67.14712696,1.780335823,2.036387492,13.82020736,job_loss,automation
55-64,High School or less,25-50k,female,South,urban,Manufacturing,Individual Contributor,6,daily,77.08439022,0.469113899,-0.288227512,6.96487447,job_loss|privacy|regulation,hiring|analytics
18-24,Some college / Associate,25-50k,male,South,suburban,Finance,Manager,7,never,68.43087268,3.755209185,2.459485449,8.657366836,privacy,content_generation
45-54,Bachelor's,25-50k,male,South,suburban,Other,Individual Contributor,1,never,77.45337545,-0.660956292,1.275632996,13.60240878,bias,customer_service
35-44,Bachelor's,<25k,female,Midwest,rural,Finance,Individual Contributor,5,daily,74.92667415,-1.462875561,0.936679792,0.778737114,accuracy,hiring|analytics
65+,Bachelor's,25-50k,female,West,rural,Healthcare,Manager,10,monthly,66.92788248,1.902514079,2.804063026,8.18962209,job_loss|accuracy,augmentation
25-34,Bachelor's,50-100k,female,West,urban,Other,Individual Contributor,7,never,92.27849271,3.16998522,1.172118899,-7.517804744,ethics,augmentation
18-24,High School or less,50-100k,female,West,urban,Retail,Manager,6,never,81.84187773,4.273827431,1.81671868,9.916656943,ethics,augmentation
18-24,Doctorate/Prof,100-200k,female,Midwest,urban,Education,Manager,6,never,91.60551066,4.139943861,2.059499455,5.94225639,privacy,augmentation
65+,Some college / Associate,50-100k,male,West,rural,Services,Individual Contributor,7,never,61.47129901,1.128717093,1.153601032,9.351478553,safety,analytics|automation
25-34,Master's,50-100k,male,Midwest,urban,Other,Individual Contributor,3,never,92.16512753,1.533334203,1.020596106,0.348164506,accuracy,analytics
25-34,Bachelor's,50-100k,male,Midwest,suburban,Other,Manager,5,never,74.59415458,1.246291166,1.673099121,7.415714957,privacy,analytics|augmentation
35-44,High School or less,25-50k,female,West,urban,Technology,Individual Contributor,1,never,66.9884911,0.109143446,-0.444116268,5.019703484,privacy,content_generation
35-44,Some college / Associate,50-100k,male,Northeast,urban,Technology,Manager,5,rarely,76.55766628,2.397183622,1.559424456,-2.408285379,privacy,augmentation|analytics
45-54,Some college / Associate,25-50k,male,South,urban,Education,Individual Contributor,8,daily,83.87420058,3.959561261,1.253398351,13.31945426,regulation,augmentation
65+,High School or less,50-100k,male,South,suburban,Other,Executive,7,never,78.90810209,3.044360081,1.248698294,2.707149038,transparency,automation
55-64,High School or less,25-50k,male,West,urban,Manufacturing,Manager,4,never,74.5431653,2.14110616,2.993346874,11.66863013,job_loss,augmentation
25-34,High School or less,100-200k,female,West,suburban,Services,Individual Contributor,5,never,79.83244594,0.285037801,-0.062068611,1.86147328,privacy,augmentation|agents
45-54,Master's,100-200k,male,West,suburban,Services,Individual Contributor,6,never,81.06949532,2.232487598,1.13682615,3.152991941,bias,content_generation
18-24,Bachelor's,100-200k,female,West,urban,Education,Individual Contributor,4,never,86.79776466,0.638443172,0.285137301,4.563365788,privacy|accuracy,automation|hiring
35-44,Master's,25-50k,male,West,urban,Retail,Individual Contributor,6,monthly,76.58405181,1.964699836,2.368205684,5.749246974,transparency,analytics
25-34,High School or less,25-50k,male,Midwest,urban,Other,Manager,10,rarely,65.94870186,4.016519985,2.037449447,7.975713539,bias,analytics|content_generation
55-64,Master's,25-50k,male,South,urban,Services,Clerical/Support,3,never,88.28701239,-1.994066799,-0.258883916,-2.315663705,transparency,automation
65+,High School or less,100-200k,male,South,urban,Government,Individual Contributor,5,never,47.69258171,1.559912105,-0.399906046,-8.140920637,privacy|safety,agents
45-54,Bachelor's,200k+,male,South,rural,Healthcare,Individual Contributor,5,rarely,90.85696315,0.900436114,1.113059239,-0.612517222,bias,augmentation
35-44,Doctorate/Prof,25-50k,female,West,urban,Education,Individual Contributor,7,rarely,98.20592161,-0.801638921,0.364336824,4.636996653,bias,analytics
55-64,High School or less,100-200k,female,Northeast,urban,Education,Manager,7,rarely,51.45673739,1.444757674,-0.187326643,5.630412555,transparency,automation
25-34,Master's,100-200k,female,Northeast,rural,Manufacturing,Individual Contributor,8,never,56.9848005,3.829265077,0.130497316,7.92980425,privacy,customer_service
25-34,Some college / Associate,50-100k,female,South,urban,Finance,Clerical/Support,8,never,100,1.376994086,-1.329489394,6.820190182,privacy,automation
45-54,High School or less,<25k,female,Northeast,suburban,Healthcare,Manager,1,monthly,77.72694117,0.93185754,1.654495624,0.062704062,job_loss,agents
18-24,Bachelor's,50-100k,female,Midwest,suburban,Services,Individual Contributor,9,never,81.39276352,3.245737025,2.248730038,2.852534268,job_loss|accuracy|ethics,analytics
55-64,Master's,50-100k,female,South,suburban,Retail,Individual Contributor,4,never,77.6331303,2.34986396,3.385113995,1.267206298,job_loss|bias|accuracy,automation
65+,Bachelor's,<25k,male,South,urban,Services,Individual Contributor,5,never,78.07957206,2.622411143,2.156828843,4.069455729,regulation,automation
65+,Some college / Associate,50-100k,male,Midwest,suburban,Services,Manager,8,never,93.49979073,0.950031213,0.250109736,3.3545633,bias,customer_service|automation
55-64,Some college / Associate,25-50k,male,West,urban,Manufacturing,Skilled Trade,8,monthly,68.85534075,3.285226264,3.176582369,2.667399015,ethics,analytics
35-44,Some college / Associate,50-100k,male,South,suburban,Retail,Individual Contributor,7,rarely,100,5.718961018,2.120722892,8.218494345,safety,analytics
25-34,Some college / Associate,50-100k,male,South,urban,Other,Manager,6,never,59.09677116,1.095564867,3.117082626,-3.51756699,job_loss,analytics
18-24,Bachelor's,100-200k,female,West,urban,Services,Individual Contributor,5,never,81.42686092,3.927104034,0.831503915,0.772465745,safety,content_generation
65+,Some college / Associate,200k+,male,South,urban,Healthcare,Clerical/Support,8,never,100,4.176071594,3.100502032,11.10755517,bias,analytics|agents
25-34,High School or less,50-100k,male,Midwest,urban,Manufacturing,Individual Contributor,9,never,71.4092426,-1.12036275,-0.381085296,1.951435429,transparency,analytics|content_generation
45-54,High School or less,<25k,male,Midwest,urban,Other,Skilled Trade,8,never,79.61413917,3.819846582,1.69799555,5.878064436,privacy,augmentation
45-54,Bachelor's,50-100k,female,West,suburban,Manufacturing,Individual Contributor,4,rarely,78.63325263,0.255298538,3.559908359,3.093418582,job_loss,agents|content_generation
45-54,Bachelor's,50-100k,male,South,urban,Finance,Manager,5,never,77.39414771,0.386382163,-0.628222384,3.161339906,safety,analytics
65+,High School or less,25-50k,female,Northeast,suburban,Services,Individual Contributor,5,never,75.80360262,-0.522290861,-0.222686649,1.896919515,transparency,content_generation
35-44,Bachelor's,50-100k,female,West,suburban,Healthcare,Individual Contributor,8,rarely,76.26896757,0.474072481,1.001982625,-3.909705092,job_loss,customer_service|analytics
