age_bracket,education_level,income_bracket,gender,geographic_region,urban_rural,industry_sector,job_type,ai_familiarity_score,ai_use_frequency,task_performance_metric,confidence_change,behavioral_intent_change,self_reported_productivity_change_pct,concerns,use_cases
65+,High School or less,25-50k,female,West,urban,Healthcare,Individual Contributor,6,monthly,61.06583454,0.122115129,0.268636834,9.59043498,bias,customer_service
35-44,Some college / Associate,50-100k,male,South,suburban,Finance,Skilled Trade,9,never,45.9219787,1.392018202,2.188254041,1.40041255,transparency,automation
55-64,High School or less,100-200k,male,Midwest,urban,Services,Individual Contributor,6,daily,81.01789371,1.171788425,0.411091575,2.449989798,transparency|ethics,customer_service
35-44,High School or less,<25k,female,West,rural,Technology,Individual Contributor,7,rarely,67.2742821,0.3069316,0.057179241,4.392478299,safety,analytics
35-44,Bachelor's,50-100k,male,West,rural,Finance,Executive,7,never,74.63896947,1.917276975,0.812333565,-1.205606598,ethics,analytics
45-54,Bachelor's,<25k,female,Northeast,suburban,Other,Manager,7,rarely,100,3.908551686,4.38852034,-5.439431029,job_loss,augmentation
25-34,High School or less,50-100k,male,South,urban,Manufacturing,Individual Contributor,6,rarely,88.46006454,5.93655941,2.981362035,0.702930659,bias,customer_service|analytics
45-54,Bachelor's,<25k,female,South,urban,Manufacturing,Clerical/Support,7,never,72.00466481,0.957396855,-0.800674367,-1.943270596,privacy|transparency|regulation,augmentation
45-54,Some college / Associate,200k+,male,West,rural,Government,Individual Contributor,5,never,71.55631661,0.742855496,-2.11333225,7.073329804,bias,automation
55-64,Bachelor's,<25k,male,South,rural,Government,Individual Contributor,6,rarely,63.89215807,2.246829007,1.961605931,-2.291721594,transparency,analytics
25-34,Bachelor's,200k+,female,Midwest,urban,Technology,Skilled Trade,8,rarely,71.95411594,1.84407733,-0.925069349,1.754725938,accuracy,augmentation
65+,Doctorate/Prof,200k+,male,South,suburban,Other,Individual Contributor,4,weekly,73.86310087,1.260029781,2.275125986,1.802029259,safety,augmentation
55-64,Bachelor's,25-50k,female,South,suburban,Manufacturing,Manager,6,weekly,59.81139451,0.437876206,0.247789226,6.212016003,privacy,augmentation
55-64,Bachelor's,50-100k,female,Midwest,urban,Retail,Individual Contributor,8,never,73.08433152,0.112099352,0.322403113,2.844144434,privacy|transparency,automation|analytics
25-34,High School or less,50-100k,female,South,suburban,Other,Executive,5,daily,65.33225508,0.843907096,-0.478043557,9.665692942,privacy,analytics
65+,Bachelor's,50-100k,male,West,urban,Retail,Individual Contributor,4,never,70.79243605,0.583210552,1.24311836,6.169733881,transparency,customer_service
65+,Bachelor's,<25k,female,Midwest,rural,Healthcare,Clerical/Support,7,never,71.26806486,-1.053408455,-1.103825989,5.226551529,accuracy,automation|analytics
65+,Some college / Associate,25-50k,male,West,suburban,Government,Clerical/Support,4,weekly,75.67180824,2.392431412,2.483805244,2.325497565,bias|accuracy|safety,content_generation
35-44,High School or less,25-50k,male,South,rural,Other,Manager,7,never,88.51932507,1.142895206,1.174849272,-4.225906435,job_loss,agents
55-64,Some college / Associate,25-50k,female,South,urban,Services,Manager,6,never,51.88411581,1.346910027,2.054351413,7.709849295,accuracy|ethics,hiring|analytics
55-64,High School or less,50-100k,male,West,urban,Retail,Individual Contributor,1,never,63.51554145,0.469441175,1.56299141,3.214797897,safety,augmentation
55-64,Doctorate/Prof,50-100k,female,Midwest,suburban,Finance,Manager,7,never,98.21788981,2.526841045,0.407269777,12.80938026,bias,content_generation
45-54,Some college / Associate,50-100k,male,South,suburban,Other,Clerical/Support,5,never,62.82800204,1.529209489,3.284637405,-1.122919734,privacy,automation
25-34,High School or less,<25k,male,West,urban,Manufacturing,Individual Contributor,6,never,76.80867087,3.674792398,2.952480717,2.947109102,privacy,augmentation|content_generation
45-54,Bachelor's,100-200k,male,West,rural,Other,Clerical/Support,8,never,87.49284236,2.598778309,0.738610675,20.94461098,accuracy,analytics|agents
45-54,Bachelor's,50-100k,male,West,suburban,Other,Executive,4,never,91.24756975,2.243025689,1.429001332,-5.246307074,job_loss,hiring
35-44,Some college / Associate,25-50k,female,Northeast,urban,Other,Individual Contributor,5,monthly,62.62472696,0.467013893,-0.053490653,0.718236704,ethics,content_generation
35-44,Master's,25-50k,female,Northeast,urban,Retail,Individual Contributor,6,never,52.63612494,0.646741183,1.131381731,-2.79670725,job_loss,customer_service|hiring
55-64,Some college / Associate,25-50k,female,Northeast,suburban,Services,Skilled Trade,7,never,58.77336524,2.339208103,1.160746342,-8.983522979,privacy,augmentation|customer_service
18-24,Bachelor's,50-100k,female,Northeast,rural,Healthcare,Manager,7,rarely,86.47270939,1.872583862,3.247601549,15.78517544,transparency,augmentation
25-34,Some college / Associate,100-200k,male,West,suburban,Services,Manager,9,never,91.85704852,0.839060353,0.491160276,1.073453667,job_loss,analytics
55-64,Some college / Associate,<25k,male,Northeast,suburban,Services,Individual Contributor,7,never,53.6149436,4.134082591,1.132372272,3.763974723,privacy,hiring|content_generation
25-34,Doctorate/Prof,<25k,male,Midwest,rural,Manufacturing,Executive,5,never,48.32874037,1.617102462,1.010351723,7.11279003,accuracy|transparency,agents
65+,Bachelor's,<25k,male,South,urban,Finance,Individual Contributor,7,never,67.67255247,-0.939945993,-0.236825408,5.218428018,accuracy|regulation,analytics|agents
55-64,Bachelor's,50-100k,male,Midwest,urban,Other,Manager,6,daily,85.11312426,1.190312601,1.792546426,-1.970671401,transparency,analytics
35-44,Some college / Associate,<25k,female,Northeast,urban,Services,Manager,9,rarely,87.8671512,2.953234933,1.761313927,13.36217341,bias|transparency,augmentation|analytics
45-54,Bachelor's,100-200k,male,South,urban,Healthcare,Manager,1,never,58.37264003,-1.564380126,0.455287897,7.943664427,job_loss,analytics|content_generation
25-34,Bachelor's,50-100k,male,South,urban,Services,Executive,4,never,52.234047,2.445072368,1.692252817,-0.980183338,privacy,augmentation
35-44,High School or less,50-100k,nonbinary,Northeast,suburban,Other,Individual Contributor,7,never,91.43354424,5.038893698,2.368837162,2.374341781,job_loss,augmentation
45-54,Bachelor's,50-100k,male,West,urban,Healthcare,Individual Contributor,4,weekly,53.63093308,2.955982865,0.976586943,1.414891118,privacy|transparency,agents
25-34,Some college / Associate,<25k,male,South,suburban,Other,Individual Contributor,4,never,70.88394108,-0.747944336,-0.621110574,7.520702053,ethics,augmentation
25-34,High School or less,50-100k,female,West,rural,Manufacturing,Manager,8,never,86.09469449,0.178862892,-1.44118532,-1.68217639,accuracy|safety|transparency,analytics
65+,Master's,50-100k,female,West,urban,Manufacturing,Manager,7,never,65.94136978,-1.578395871,1.411402022,2.300592315,ethics,customer_service
18-24,High School or less,50-100k,male,South,urban,Other,Manager,4,monthly,94.82724837,1.772129194,2.009888502,6.03179068,accuracy,customer_service
55-64,Some college / Associate,25-50k,female,West,urban,Healthcare,Individual Contributor,4,never,80.18929327,-0.123316554,0.38339964,10.2592952,ethics,augmentation
55-64,High School or less,25-50k,female,Northeast,suburban,Technology,Individual Contributor,6,never,86.46099199,1.946723766,0.760913508,0.783730286,safety,automation
35-44,Master's,200k+,male,West,urban,Healthcare,Individual Contributor,7,rarely,72.11767293,0.782284248,2.739515433,3.186068532,transparency|regulation,analytics
45-54,Bachelor's,200k+,female,South,urban,Services,Individual Contributor,6,never,34.26073198,-0.195400235,0.833143152,5.258241815,bias|transparency,customer_service
18-24,Some college / Associate,50-100k,female,Midwest,urban,Finance,Manager,5,never,72.60530417,1.25652986,0.165557433,1.07698817,transparency,customer_service
35-44,Some college / Associate,25-50k,female,South,suburban,Healthcare,Clerical/Support,2,never,67.54477482,0.788121326,0.495585306,16.99732436,accuracy,agents
45-54,Doctorate/Prof,<25k,nonbinary,West,suburban,Finance,Individual Contributor,7,never,49.68570947,0.817355365,4.171913688,-4.119104583,transparency,agents
35-44,High School or less,50-100k,male,West,suburban,Healthcare,Individual Contributor,6,never,70.63130569,3.145113863,2.786889599,6.123603478,transparency,automation
35-44,Some college / Associate,<25k,female,South,suburban,Services,Individual Contributor,1,never,49.40130232,0.961471329,0.59684612,-2.311590343,accuracy,customer_service
55-64,Bachelor's,50-100k,female,South,suburban,Government,Individual Contributor,6,daily,77.08708742,3.29158859,3.853595941,4.968287733,privacy|regulation,content_generation
55-64,Bachelor's,25-50k,male,West,suburban,Manufacturing,Individual Contributor,3,never,77.52314987,0.636181217,1.409866269,7.09891227,accuracy|ethics,analytics
55-64,Bachelor's,<25k,female,Midwest,urban,Technology,Manager,5,never,76.43491433,1.739549558,-0.114914844,11.10249688,job_loss|privacy|accuracy,augmentation
35-44,Some college / Associate,50-100k,female,West,urban,Other,Individual Contributor,5,rarely,68.02675139,4.156985286,2.688223564,-2.409566371,safety,automation
35-44,Some college / Associate,<25k,female,Northeast,urban,Retail,Individual Contributor,7,rarely,62.81649148,2.794935106,4.827514226,2.039845309,accuracy|transparency,augmentation|agents
25-34,High School or less,50-100k,male,South,suburban,Healthcare,Individual Contributor,6,daily,44.25896372,2.557271835,1.589549845,12.05993432,job_loss|ethics,hiring
18-24,Bachelor's,25-50k,male,South,rural,Other,Individual Contributor,6,rarely,56.13027702,2.241563488,1.383805739,-4.356247294,accuracy,content_generation
25-34,Doctorate/Prof,50-100k,female,Midwest,urban,Manufacturing,Individual Contributor,3,never,62.93522679,0.901842507,3.321191864,4.827785681,job_loss|bias|accuracy,augmentation
45-54,Bachelor's,50-100k,male,South,rural,Technology,Clerical/Support,5,never,69.2862829,0.290260151,-0.032840302,-7.643986981,transparency,automation
25-34,Master's,100-200k,male,South,rural,Finance,Individual Contributor,4,never,74.18825718,0.705430479,0.76857964,-3.027057204,privacy,analytics
25-34,High School or less,25-50k,female,West,rural,Other,Individual Contributor,4,rarely,50.99155801,-0.503359841,1.465082361,-9.193501193,job_loss,customer_service
35-44,Doctorate/Prof,25-50k,male,South,rural,Healthcare,Skilled Trade,4,rarely,69.8814604,1.659587286,3.743160363,2.427177474,privacy|bias,analytics
18-24,Bachelor's,<25k,female,West,suburban,Healthcare,Individual Contributor,8,never,59.22312362,-0.05537796,-1.012019499,0.734830164,privacy,automation|hiring
35-44,Doctorate/Prof,100-200k,female,West,urban,Services,Individual Contributor,8,never,71.56539592,3.41722226,2.67721859,4.724105927,accuracy,customer_service
65+,High School or less,50-100k,female,South,urban,Services,Manager,5,never,99.12512335,2.793532765,3.575332184,-3.012960366,accuracy,augmentation
25-34,Master's,<25k,female,South,suburban,Healthcare,Individual Contributor,3,never,79.18137593,1.019144074,-0.061745334,4.015504968,bias,customer_service|content_generation
25-34,Some college / Associate,<25k,female,Midwest,suburban,Education,Manager,7,never,59.29363549,1.91592857,3.884775231,0.033602978,safety,automation|customer_service
25-34,Some college / Associate,25-50k,male,South,urban,Healthcare,Individual Contributor,9,daily,79.61649536,4.492394017,1.455746292,1.536897592,accuracy|ethics,analytics
25-34,High School or less,100-200k,male,Midwest,rural,Education,Manager,4,rarely,63.00000337,2.105158431,4.511149304,1.29203482,bias,analytics|agents
25-34,Bachelor's,50-100k,male,South,suburban,Services,Manager,7,never,65.85220679,1.218798015,1.085040181,-4.495082451,job_loss,analytics
25-34,Master's,200k+,female,West,suburban,Other,Individual Contributor,6,never,72.55007712,1.094548053,0.044172937,10.32110075,privacy,content_generation
25-34,Some college / Associate,50-100k,male,South,urban,Other,Individual Contributor,5,rarely,64.84973451,3.083836377,1.190765054,12.64207135,job_loss|safety,automation
18-24,Some college / Associate,25-50k,female,Midwest,urban,Services,Manager,9,weekly,58.72704059,0.082668534,-0.232257538,-0.575760912,job_loss,automation
45-54,Master's,50-100k,nonbinary,Midwest,suburban,Government,Manager,6,weekly,81.59623196,1.9454176,0.741553286,10.7390945,safety,augmentation
55-64,High School or less,<25k,male,West,urban,Manufacturing,Individual Contributor,5,rarely,69.72941868,1.96347045,0.059299432,5.360307338,safety,automation
18-24,Some college / Associate,100-200k,male,South,rural,Retail,Manager,5,never,80.66278016,-0.243619557,3.461706793,0.327637894,bias|accuracy,automation|analytics
25-34,Some college / Associate,200k+,male,South,urban,Other,Manager,3,never,72.66336197,0.32238203,0.524753916,-1.852749125,privacy|job_loss|accuracy,augmentation
55-64,Some college / Associate,100-200k,male,West,suburban,Other,Manager,6,monthly,67.91681221,2.372794806,1.540111167,-6.745154862,job_loss,analytics
35-44,Some college / Associate,50-100k,female,Midwest,suburban,Manufacturing,Individual Contributor,7,never,59.35418674,3.354321294,1.39259714,15.32451445,job_loss,content_generation
55-64,Master's,25-50k,male,West,urban,Finance,Clerical/Support,6,never,81.82718963,0.465464525,1.873651859,-6.674596615,safety,customer_service
65+,Bachelor's,25-50k,female,Northeast,suburban,Services,Clerical/Support,4,never,62.22683398,0.794147746,-0.732433306,-7.799173505,bias,automation
25-34,High School or less,25-50k,male,South,urban,Services,Individual Contributor,6,never,70.19367061,2.689108887,3.151646977,8.268429082,bias|safety,augmentation
65+,High School or less,25-50k,female,West,urban,Manufacturing,Individual Contributor,10,weekly,72.31689581,4.126242732,3.584469156,6.935766278,transparency,augmentation
25-34,Some college / Associate,200k+,male,Northeast,urban,Healthcare,Individual Contributor,8,never,82.77222168,-0.240895962,0.890440214,-1.13756405,accuracy|safety,augmentation|analytics
25-34,High School or less,25-50k,female,Northeast,suburban,Technology,Individual Contributor,6,never,62.72272538,0.702302931,1.713704348,5.13761746,transparency,automation
35-44,Bachelor's,200k+,male,West,urban,Retail,Manager,7,rarely,89.17352226,-0.508912921,-0.565937603,13.18476884,accuracy,analytics
45-54,Bachelor's,<25k,male,South,urban,Finance,Individual Contributor,5,never,72.23232222,2.035515641,0.345682119,1.317604754,job_loss,automation
18-24,High School or less,100-200k,male,South,urban,Finance,Individual Contributor,8,monthly,74.82592732,1.134372286,0.284655804,5.961679064,job_loss,augmentation
25-34,High School or less,50-100k,male,West,urban,Technology,Individual Contributor,9,daily,53.58258118,0.757465207,0.105212876,7.578445226,job_loss,analytics
18-24,Master's,<25k,male,South,urban,Other,Individual Contributor,5,never,75.9966158,-1.931706702,-0.762691523,-8.205006302,bias|transparency,augmentation|analytics
65+,Bachelor's,100-200k,male,West,urban,Manufacturing,Clerical/Support,7,rarely,100,-0.30095512,0.30762809,-8.288520085,bias,augmentation
25-34,High School or less,50-100k,female,Midwest,suburban,Finance,Manager,5,rarely,64.54391213,-0.061759001,-0.519158242,6.509301912,transparency,agents
18-24,Bachelor's,50-100k,male,West,suburban,Services,Skilled Trade,4,never,52.97312887,2.522830924,3.250289378,1.666707089,transparency,analytics
45-54,High School or less,200k+,male,Northeast,urban,Technology,Manager,5,never,77.31106722,0.658789253,1.187100795,2.911040203,bias,automation|agents
55-64,High School or less,200k+,male,West,urban,Manufacturing,Manager,7,never,83.23395169,3.21774051,1.978705416,4.483972177,bias,automation
45-54,Master's,<25k,male,South,suburban,Technology,Manager,0,never,74.29580105,-0.324564533,2.872327749,-11.24817225,privacy,automation|augmentation
55-64,Bachelor's,25-50k,male,Northeast,urban,Healthcare,Individual Contributor,5,weekly,77.79995887,1.506398692,0.638889931,7.228650522,privacy,customer_service
18-24,Bachelor's,100-200k,female,South,urban,Finance,Individual Contributor,2,never,80.72852458,0.658172406,3.468139385,6.90136576,accuracy,customer_service|analytics
25-34,High School or less,50-100k,female,Midwest,rural,Services,Manager,7,never,71.5632877,2.536980508,1.465770039,1.366977983,accuracy,content_generation
35-44,Master's,<25k,male,Midwest,urban,Finance,Skilled Trade,2,never,63.73856763,-1.846116351,0.599651806,-5.209646168,accuracy,augmentation
25-34,High School or less,<25k,male,Northeast,rural,Healthcare,Individual Contributor,4,never,70.75799718,2.73475776,2.713920815,2.336182773,safety,augmentation
25-34,Bachelor's,50-100k,female,West,suburban,Government,Individual Contributor,6,never,86.95604365,1.544108972,2.272792629,4.403889853,job_loss|transparency,automation|customer_service
45-54,Master's,<25k,male,Northeast,urban,Retail,Clerical/Support,5,never,70.81043338,2.23841987,-1.005738006,-6.515354134,job_loss,automation|hiring
25-34,High School or less,50-100k,female,South,suburban,Government,Manager,4,never,93.66292336,1.875021083,3.083893968,12.70050496,job_loss,analytics
35-44,Master's,50-100k,female,West,suburban,Other,Individual Contributor,8,never,82.76431045,2.650831975,1.864360094,1.846337244,ethics,automation
35-44,Master's,25-50k,male,South,urban,Finance,Manager,7,weekly,56.6446128,0.159048662,-0.97469582,3.038757635,transparency|ethics,content_generation
55-64,Some college / Associate,50-100k,female,West,rural,Services,Manager,3,never,55.78785966,2.214276412,1.109238484,0.851166289,transparency,augmentation
55-64,High School or less,25-50k,female,West,urban,Other,Individual Contributor,0,never,69.95361962,0.290969997,-0.591686089,-2.39443852,job_loss|bias,analytics
25-34,Bachelor's,50-100k,male,West,suburban,Services,Skilled Trade,9,rarely,77.54419778,5.144025007,3.251561026,6.926969608,bias,augmentation|customer_service
18-24,Some college / Associate,<25k,female,Midwest,suburban,Finance,Manager,6,never,79.58452864,2.478059419,1.577557472,6.495569782,accuracy,analytics
18-24,Some college / Associate,50-100k,male,Midwest,urban,Manufacturing,Manager,7,monthly,66.51875969,0.541616798,0.235721858,14.74326675,job_loss|privacy|bias,analytics
45-54,Some college / Associate,25-50k,female,Midwest,urban,Other,Skilled Trade,5,never,96.63321747,2.866632967,3.595887837,-4.684344628,privacy,analytics
18-24,High School or less,25-50k,female,Midwest,suburban,Retail,Individual Contributor,6,never,61.70225795,4.304488093,3.111231071,-2.347204785,bias|transparency,augmentation|content_generation
45-54,High School or less,<25k,female,South,urban,Services,Individual Contributor,5,never,70.94178102,0.992156431,0.774947751,-5.604635396,regulation,augmentation|agents
25-34,Bachelor's,50-100k,male,South,suburban,Government,Individual Contributor,6,never,75.75222749,0.898084087,1.959401905,6.730676602,ethics,augmentation
45-54,High School or less,100-200k,male,West,urban,Services,Manager,5,rarely,66.52673892,1.073678076,-0.494525351,3.636899424,regulation,content_generation
18-24,Master's,50-100k,male,West,urban,Other,Manager,6,rarely,87.93525206,1.101861784,0.980465231,1.610496851,safety|transparency|bias,analytics
45-54,High School or less,25-50k,female,South,suburban,Healthcare,Manager,5,weekly,90.27801783,0.904452064,3.568742333,5.347244696,accuracy,automation
45-54,Some college / Associate,25-50k,male,Midwest,suburban,Education,Manager,5,weekly,76.73890038,3.981744033,3.644899309,15.58949098,accuracy,content_generation
25-34,Some college / Associate,50-100k,female,South,suburban,Other,Individual Contributor,4,never,50.1066356,3.175660214,2.032686491,6.126157544,job_loss,analytics
55-64,Some college / Associate,<25k,female,West,suburban,Finance,Individual Contributor,7,never,77.72123793,3.050665781,3.623100981,-1.526263955,regulation,analytics
65+,High School or less,25-50k,male,Midwest,suburban,Retail,Individual Contributor,9,never,88.28112373,2.036764291,1.171237573,2.905453548,safety,automation|analytics
25-34,Some college / Associate,200k+,female,South,urban,Technology,Individual Contributor,7,never,69.92272139,3.486210291,3.992990454,-3.419079136,safety,analytics
35-44,Bachelor's,100-200k,male,Midwest,suburban,Other,Clerical/Support,8,daily,70.88511959,0.017261474,-1.034357007,-0.627781531,privacy,content_generation
25-34,High School or less,<25k,female,South,rural,Technology,Individual Contributor,6,monthly,80.41645877,1.016781859,1.406035932,9.762148176,job_loss,analytics|agents
25-34,Bachelor's,50-100k,male,West,urban,Technology,Skilled Trade,6,rarely,69.40618447,3.964292503,4.201120249,-2.822829246,job_loss,content_generation
55-64,Doctorate/Prof,<25k,male,South,urban,Manufacturing,Manager,2,never,73.19848701,0.20745678,3.916459961,-4.051426808,transparency,augmentation
55-64,Bachelor's,25-50k,female,Midwest,urban,Manufacturing,Individual Contributor,6,rarely,72.56377518,2.703223289,1.096326449,6.157352776,accuracy,hiring
45-54,Some college / Associate,25-50k,male,South,urban,Healthcare,Manager,5,never,44.96748133,2.12712442,1.673383811,1.002835526,ethics,augmentation|analytics
18-24,Some college / Associate,100-200k,male,South,urban,Services,Individual Contributor,6,never,90.72572464,-0.025097525,0.580254319,5.173854734,ethics,automation
18-24,Master's,25-50k,female,Midwest,suburban,Retail,Individual Contributor,10,never,87.600539,-0.415742953,-0.483075644,1.026256077,job_loss|privacy,analytics
35-44,Master's,25-50k,male,West,rural,Finance,Manager,8,never,59.27024754,1.444346785,2.334848703,4.690946106,bias,customer_service
35-44,High School or less,100-200k,male,South,urban,Healthcare,Individual Contributor,7,rarely,92.04365888,3.577169922,3.412540797,6.411005571,bias|ethics,agents|content_generation
25-34,Master's,<25k,male,South,urban,Healthcare,Manager,5,never,89.00911602,0.804063776,-0.37651123,6.855961335,job_loss|transparency|ethics,analytics
55-64,Master's,25-50k,male,Midwest,urban,Technology,Individual Contributor,5,rarely,60.9497503,2.151802891,1.401887842,7.711483148,ethics,automation
25-34,Some college / Associate,<25k,male,South,suburban,Education,Manager,10,weekly,81.01072054,4.0127879,1.931541954,5.327147101,ethics,hiring|content_generation
35-44,Bachelor's,25-50k,male,Midwest,suburban,Manufacturing,Manager,9,never,87.25961094,2.422709708,1.848640572,5.156872955,privacy,augmentation
45-54,Some college / Associate,25-50k,male,Midwest,urban,Services,Individual Contributor,5,rarely,67.91707819,-0.90792273,0.526098322,-0.510656783,bias,agents
25-34,High School or less,<25k,male,West,rural,Other,Individual Contributor,7,never,80.01217061,2.260759824,0.17687907,-4.012508514,accuracy,augmentation|analytics
25-34,Some college / Associate,<25k,female,West,urban,Retail,Manager,2,weekly,85.23663209,-0.022073463,0.430169715,-0.415680946,job_loss,augmentation
25-34,High School or less,100-200k,female,Northeast,urban,Technology,Manager,6,never,71.16535134,1.965444579,1.451034196,12.81594916,job_loss,augmentation
45-54,Bachelor's,50-100k,female,West,rural,Education,Individual Contributor,9,never,81.22340126,-0.706995014,1.742177251,2.695028638,job_loss,augmentation
25-34,Some college / Associate,<25k,female,South,urban,Services,Individual Contributor,5,never,56.04881405,-0.045349077,0.181737315,0.802028998,accuracy,augmentation|agents
35-44,Some college / Associate,<25k,male,South,urban,Manufacturing,Individual Contributor,5,rarely,75.26351722,3.243472403,2.320248147,4.594875198,privacy,analytics|content_generation
45-54,Some college / Associate,25-50k,male,Northeast,suburban,Manufacturing,Manager,6,never,71.7011963,5.021673692,2.049503726,15.38360118,job_loss|regulation,agents|content_generation
45-54,Some college / Associate,25-50k,male,South,suburban,Services,Individual Contributor,8,never,67.49136491,1.198217032,-1.437072391,-0.786674204,job_loss,augmentation
35-44,High School or less,100-200k,male,South,suburban,Healthcare,Individual Contributor,6,never,79.85456615,-0.082403457,0.283318139,4.042933471,accuracy,automation
25-34,High School or less,25-50k,male,Northeast,urban,Services,Individual Contributor,4,never,82.83185987,1.6268674,3.065533392,-1.724193721,transparency,augmentation
25-34,High School or less,25-50k,female,South,urban,Healthcare,Clerical/Support,9,never,61.1115919,2.883930945,0.792030241,0.780546621,accuracy|safety|ethics,augmentation
25-34,Doctorate/Prof,100-200k,male,Midwest,suburban,Manufacturing,Manager,7,daily,49.0628924,1.538265874,1.305904777,0.440241946,bias,augmentation
45-54,Some college / Associate,50-100k,female,South,urban,Other,Manager,7,rarely,81.00409558,3.355166903,2.616343001,3.261913992,regulation,customer_service
45-54,Some college / Associate,50-100k,male,West,urban,Manufacturing,Manager,3,rarely,57.21408449,0.346392471,1.094479255,14.21813549,transparency,analytics
25-34,Bachelor's,50-100k,female,West,rural,Other,Individual Contributor,3,never,92.33109137,0.985893562,0.909248076,0.825971676,job_loss,automation|augmentation
25-34,Bachelor's,25-50k,female,South,rural,Other,Individual Contributor,4,never,64.7459616,-2.018499786,0.1543653,4.769474814,job_loss|safety|transparency,automation|customer_service
35-44,Master's,50-100k,female,South,urban,Other,Clerical/Support,9,never,69.03189194,0.933948406,-0.630016081,7.825860145,job_loss|accuracy,analytics
55-64,Bachelor's,25-50k,female,Northeast,suburban,Services,Individual Contributor,7,never,65.93263285,-1.329466498,-1.11944342,3.882775362,job_loss,augmentation|customer_service
45-54,High School or less,<25k,male,West,urban,Technology,Individual Contributor,10,never,88.53986392,0.690120281,0.66136516,0.674316497,accuracy|transparency,content_generation|analytics
25-34,Master's,25-50k,female,Midwest,urban,Retail,Individual Contributor,3,weekly,60.00789283,0.363182174,-0.300306829,-0.947963544,ethics,automation
25-34,High School or less,25-50k,male,Northeast,urban,Services,Manager,6,rarely,77.53363603,2.795311074,3.296076914,-7.233940651,transparency,augmentation
35-44,High School or less,<25k,female,West,suburban,Healthcare,Individual Contributor,7,rarely,85.74850966,4.426638233,2.584637053,7.02881199,job_loss,automation|hiring
45-54,High School or less,200k+,female,South,urban,Technology,Individual Contributor,2,never,73.79748431,-0.331894584,0.347104127,4.148517908,transparency,augmentation
35-44,Master's,<25k,female,West,suburban,Education,Individual Contributor,3,never,77.96793782,0.727158721,2.451052664,6.590134434,accuracy,hiring
55-64,Some college / Associate,50-100k,female,South,suburban,Technology,Individual Contributor,6,never,91.22707673,3.746079727,2.206235033,-1.935630501,ethics,analytics
25-34,Master's,<25k,female,South,urban,Technology,Individual Contributor,7,daily,66.97265768,1.262026869,-0.23571464,4.33727211,accuracy,agents
25-34,Bachelor's,<25k,male,Northeast,urban,Other,Clerical/Support,4,never,59.21115186,2.096126069,0.378703374,7.260892306,job_loss|regulation,augmentation
